SentID,Corpus,LU,Frame,ID,Author,Title,Date,Century,Domain,Genre,Region,Form,Wordcount_Source,Text,Target1Start,Target1End,Target2Start,Target2End,Target3Start,Target3End
1,MCVF,attribuer,FR_Attributing_cause,Commynes_Memoires,Philippe de Commynes,Mémoires,1489,15th,,Journal / Mémoire personnel,,,43495,"Les Allemands mesprisoient la pompe et parolles dudict duc , l’ atribuant à orgueil .",64,72,,,,
2,MCVF,attribuer,FR_Attributing_cause,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"Il informa ces Messieurs tres exactement de l’ estat des afaires de Ville Marie et combien elle avoit besoin d’ un secours extrordinere pour mettre la Colonie hors du danger d’ estre destruiste par les Yrocois , ce qu’ ils aurois fait dix fois pour une sy Dieu ne l’ avoit gardee et desfandue luy mesme d’ une maniere miraculeuse selon le santiment de plusieurs sages et de toutes les personnes qui la composois , qui reconnessois tres bien n’ eschaper de la main des ennemis que par un secours du Ciel tout particulier qu’ ils atribuyès avec bien du fondement a la protection de la tres s‹ain›te Vierge en qui ils avois grande confiance .",528,536,,,,
3,MCVF,attribuer,FR_Attributing_cause,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"Tout cela se fit par les soins et soubs la conduitte de mond‹it› sieur La Dauversiere qui fit tout a la fois l’ office de procureur , de questeur , d’ architecte et d’ econosme , avec son zelle et humilité ordinere , ne s’ atribuant rien en tout cela que ce qu’ on y trouvèt mal ordonné ou mal fait .",223,231,,,,
4,MCVF,attribuer,FR_Attributing_cause,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,et elle atribuèt le relachement de la maison de La Fleche aux directions estrangeres .,8,15,,,,
5,MCVF,attribuer,FR_Attributing_cause,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"Nos guerriers n’ atribuerent point la victoire a leurs armes et valleur , quoy=que fort estimee de tous ceux qui les connesse , mais au bras du Seigneur par les prieres de Jesus , Marie , Joseph , Joachim et Anne . Ce qui a occmanté notablement la devotion et confiance des peuples envers elle .",17,27,,,,
6,MCVF,attribuer,FR_Attributing_cause,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"Ce n’ estoit que des voix de rejouissances qu’ on entandèt de toutes pars et des actions de graces a Dieu , dans toute l’ etandue de la petite Ville Marie , et a leur Reine et protectrisse , la tres s‹ain›te Vierge aux prieres et faveur de laquelle ils atribuès d’ ‹a›bor tous les biens=faits du Seigneur envers eux , en quoy ils ne ce trompès pas .",253,260,,,,
7,MCVF,attribuer,FR_Attributing_cause,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,"on attribuë cela a ce qu’ ils se nourrissent de graisse et d’ huile ,",3,10,,,,
8,MCVF,imputer,FR_Attributing_cause,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"Et , comme j’ ay dit , ceste belle damoiselle n’ avoit que xv ans , pour quoy , si aucune faulte luy advint , il semble qu’ on ne le doit pas tant imputer a malice comme a la fragilité de son jeune eage .",147,153,,,,
9,MCVF,justifier,FR_Attributing_cause,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"et s’ an pleignit aux personnes qui luy avois promis d’ an prandre soin , qui ne manquerent pas de bonnes reisons pour s’ excuser et justifier leur conduitte , a cause du peu d’ ouvriers qui estois obligé de faire plusieurs sortes de traveaux tout a la fois , prenant le soin de semer leurs champs et d’ an recullir les bleds pour norir leurs familles en mesme tamps qu’ ils edifiès des logis pour le bien public de la Colonie du Montreal .",133,141,,,,
10,MCVF,cher,FR_Spending,ROLAND,Anonyme,La Chanson de Roland,1100,12th,,Chanson de geste,,,29321,Mult grant eschech en unt si chevaler D’ or e d’ argent e de guarnemenz chers .,72,76,,,,
