LU,Century,Frequency
explication.n,12th century,0
explication.n,13th century,0
explication.n,14th century,0
explication.n,15th century,0
explication.n,16th century,0.004433137
explication.n,17th century,0.028738072
explication.n,18th century,0.107726312
explication.n,19th century,0.21705062
explication.n,20th century,0.137809575
expliquer.v,12th century,0
expliquer.v,13th century,0
expliquer.v,14th century,0
expliquer.v,15th century,0
expliquer.v,16th century,0.013299411
expliquer.v,17th century,0.097410946
expliquer.v,18th century,0.378132563
expliquer.v,19th century,0.269292352
expliquer.v,20th century,0.369804036
justifier.v,12th century,0
justifier.v,13th century,0
justifier.v,14th century,0
justifier.v,15th century,0
justifier.v,16th century,0
justifier.v,17th century,0.049477822
justifier.v,18th century,0.073743659
justifier.v,19th century,0.034625329
justifier.v,20th century,0.034564646
imputer.v,12th century,0
imputer.v,13th century,0
imputer.v,14th century,0.025211906
imputer.v,15th century,0.041028166
imputer.v,16th century,0.107937248
imputer.v,17th century,0.262080908
imputer.v,18th century,0.185779508
imputer.v,19th century,0.06191682
imputer.v,20th century,0.062448395
imputable.a,12th century,0
imputable.a,13th century,0
imputable.a,14th century,0
imputable.a,15th century,0
imputable.a,16th century,0
imputable.a,17th century,0
imputable.a,18th century,0.000322534
imputable.a,19th century,0.008903741
imputable.a,20th century,0.015719031
attribuer.v,12th century,0
attribuer.v,13th century,0
attribuer.v,14th century,0
attribuer.v,15th century,0.041028166
attribuer.v,16th century,0.202657691
attribuer.v,17th century,0.22743584
attribuer.v,18th century,0.465233311
attribuer.v,19th century,0.214026912
attribuer.v,20th century,0.114788554
attribution.n,12th century,0
attribution.n,13th century,0
attribution.n,14th century,0
attribution.n,15th century,0
attribution.n,16th century,0
attribution.n,17th century,0
attribution.n,18th century,0
attribution.n,19th century,0.000337728
attribution.n,20th century,0.001122788
mettre sur le compte de.v,12th century,0
mettre sur le compte de.v,13th century,0
mettre sur le compte de.v,14th century,0
mettre sur le compte de.v,15th century,0
mettre sur le compte de.v,16th century,0
mettre sur le compte de.v,17th century,0.004744568
mettre sur le compte de.v,18th century,0.021771036
mettre sur le compte de.v,19th century,0.01712764
mettre sur le compte de.v,20th century,0.010739711
aveu.n,12th century,0
aveu.n,13th century,0
aveu.n,14th century,0
aveu.n,15th century,0
aveu.n,16th century,0
aveu.n,17th century,0.156231852
aveu.n,18th century,0.578036783
aveu.n,19th century,0.190347316
aveu.n,20th century,0.229714094
avouer.v,12th century,0
avouer.v,13th century,0
avouer.v,14th century,0.050423812
avouer.v,15th century,0
avouer.v,16th century,0.158272423
avouer.v,17th century,1.537240086
avouer.v,18th century,1.43675015
avouer.v,19th century,1.173464464
avouer.v,20th century,0.004931955
cafeter.v,12th century,0
cafeter.v,13th century,0
cafeter.v,14th century,0
cafeter.v,15th century,0
cafeter.v,16th century,0
cafeter.v,17th century,0
cafeter.v,18th century,0
cafeter.v,19th century,0
cafeter.v,20th century,0.000224558
confesser.v,12th century,0
confesser.v,13th century,0.087494728
confesser.v,14th century,0.226907155
confesser.v,15th century,1.600098468
confesser.v,16th century,1.323826425
confesser.v,17th century,0.689513493
confesser.v,18th century,0.20380191
confesser.v,19th century,0.167586165
confesser.v,20th century,0.120977445
confession.n,12th century,0
confession.n,13th century,0.157490511
confession.n,14th century,0
confession.n,15th century,0.615422488
confession.n,16th century,0.243001583
confession.n,17th century,0.150754827
confession.n,18th century,0.072498446
confession.n,19th century,0.096365088
confession.n,20th century,0.109012501
confier.v,12th century,0
confier.v,13th century,0
confier.v,14th century,0
confier.v,15th century,0
confier.v,16th century,0.004433137
confier.v,17th century,0.071365431
confier.v,18th century,0.268300395
confier.v,19th century,0.16185234
confier.v,20th century,0.180026272
divulgation.n,12th century,0
divulgation.n,13th century,0
divulgation.n,14th century,0
divulgation.n,15th century,0
divulgation.n,16th century,0.004433137
divulgation.n,17th century,0
divulgation.n,18th century,0.000322534
divulgation.n,19th century,0.002195233
divulgation.n,20th century,0.00651217
divulguer.v,12th century,0
divulguer.v,13th century,0
divulguer.v,14th century,0
divulguer.v,15th century,0
divulguer.v,16th century,0.066497055
divulguer.v,17th century,0.045666469
divulguer.v,18th century,0.035801259
divulguer.v,19th century,0.023158499
divulguer.v,20th century,0.020530979
dévoilement.n,12th century,0
dévoilement.n,13th century,0
dévoilement.n,14th century,0
dévoilement.n,15th century,0
dévoilement.n,16th century,0
dévoilement.n,17th century,0
dévoilement.n,18th century,0
dévoilement.n,19th century,0.00084432
dévoilement.n,20th century,0.00089823
dévoiler.v,12th century,0
dévoiler.v,13th century,0
dévoiler.v,14th century,0
dévoiler.v,15th century,0
dévoiler.v,16th century,0
dévoiler.v,17th century,0.011268349
dévoiler.v,18th century,0.161881284
dévoiler.v,19th century,0.070487125
dévoiler.v,20th century,0.084583357
révélation.n,12th century,0
révélation.n,13th century,0.017498946
révélation.n,14th century,0
