LU,Text
coustage," Et si vous ay servi par l' espasse de x. mois entiers ou plus, des=quels je vous ay servi les vj. à mes coustanges & les iiij. aus vostres. (ANONYME_ALEXANDRIE,.3911) "
coustage," car vous sejournés ichi a ses coustages, (FROISSART,56.403) "
coustage," Nous vous volons servir sus ce voiage a nostres coustages. (FROISSART,68.659) "
coustage," et li fist avoir sa delivrance et son estat bien et grandement, et le plus a ses coustages. (FROISSART,168.2846) "
coustage," Vous devés sçavoir et croire legierement que li rois d' Engleterre gissoit a grans frés et as grans coustages deça la mer; (FROISSART,297.5545) "
coustage," Et tous les mois estoient paiiet de lors gages, sans les grans coustages et frés qui li venoient de costé, a tenir ces signeurs d' Alemagne a amour, (FROISSART,297.5547) "
coustage," et leur dist: Biau signeur, je ne sui pas venus en ce pais et faire les frés et les coustages si grans que vous veés que je fac et ai fais jusques a chi, pour tenir le siege devant Cambrai. (FROISSART,317.6023) "
coustage," Vous devés sçavoir que li contes de Hainnau gissoit la devant les François a grans coustages, et vosist bien avoir eu la bataille et le manda par pluisseurs fois, mais li François n' estoient point consilliet dou combatre, (FROISSART,402.8069) "
coustage," Li rois d' Engleterre, a grant poissance et grant coustage, tenoit la son siege (FROISSART,449.9222) "
coustage," Li contes de Hainnau, li dus de Braibant et li dus de Gerles servoient le roi d' Engleterre a leurs coustages, et messires Jehans de Hainnau aussi; (FROISSART,449.9226) "
coustage," dou mains toute la ducee de Normendie, qui jadis avoit esté as rois d' Engleterre, li seroit rendue, et la conté de Pontieu et celle de Monstruel, et tous coustages et frés que fais avoit, li et ses gens, depuis que il passa la mer en la cause dou calenge. (FROISSART,457.9341) "
coustage," Et tout de bonne volenté se offrirent a faire service et plaisance a mesire Carle de Blois, et aler a lors coustages avoecques li en Bretagne. (FROISSART,491.10070) "
coustage," Et l' avoit li sires, qui se nonmoit Guillaumes, remparee et fortifiie assés et pourveue d' arbalestriers, qui li estoient venu de Toulouse a ses coustages. (FROISSART,624.13331) "
coustage," Comsiderés les grans coustages qui en nasqirent. (FROISSART,663.14262) "
coustage," A l' endemain vinrent doi mestre des enghiens que li dus de Normendie avoit mandés et fait venir de moult lonc a grant coustages. (FROISSART,669.14384) "
coustage," car li intension de li estoit telle que de la il ne s' en partiroit, si l' averoit conquis par force ou par tretié, quel painne ne quel coustages que il i deuist rendre ne metre. (FROISSART,746.16187) "
coustage," Bien voloit lor or et lor argent pour paiier les coustages et saudees des gentils honmes, et non plus avant: (FROISSART,821.17961) "
coustage," Li rois d' Engleterre, qui se tenoit devant Calais a siege et estoit tenus tout le temps, ensi que vous savés, et a grans coustages, estudioit nuit et jour conment il peuist chiaus de Calais le plus constraindre et grever; (FROISSART,824.18028) "
coustage," Et pour vous moustrer le coustage que le roy i mist, vous foiz je a savoir que je demandai au legat combien celle porte et ce pan du mur li avoit cousté; (JOINVILLE_MEMOIRES,277.3234) "
cout," Et qu' il soit vray, depuis a son pourchaz et a ses chers coustz et despens il la fist marier tresrichement et bien, a la contemplacion seullement de la franchise et loyaulté qu' en elle avoit trouvé, dont il eut la vraye cognoissance par le refus icy dessus compté. (ANONYME_CNN,158.3260) "
cout," Et tout premier ung gentil escuier frisque, frez et friant en bon point, qui tant rembourra son bas a son cher coust, tant en substance de son corps que en despense de pecune, car a la verité elle tant bien le pluma qu' il n' y failloit point renvoier, qu' il s' ennuya et retira, et de tous poins l' abandonna. (ANONYME_CNN,461.9973) "
cout," Sacent tout qu' il est concordet par eschevins, par les VIII hommes, et par tout le consel de le ville, et par le commun de le ville, que se hom dou consel de le ville, ne bourgois de cheste ville, avoit frais, cous, ne damages pour l' oquoison de le franchize, de le loy, ne des besoignes de le ville aidier à warder ou soustenir, en quel manière que chou fust, li ville et tous li communs les en doit délivrer au commun frait de le ville. (Anonyme_Roisin,14.204) "
cout," et si vous mesrons chinquante galies a no coust, (CLARI_CONSTANTINOPLE,7.147) "
cout," et li dux de Venice avoit avec lui chinquante galies tout a sen coust. (CLARI_CONSTANTINOPLE,12.282) "
cout," si leur fist lier as cous EOS (CLARI_CONSTANTINOPLE,20.485) "
cout," Tant parlerent que il dist qu' il donroit a l' ost .cc. mile mars, et qu' il tenroit le navie un an a sen coust, et qu' il iroit outre mer avec aus a tout sen pooir, et qu' i tenroit tous les jours de sa vie .x .m. hommes a armes en le tere d' outre mer a sen coust, et qu' il douroit a tous chiaus de l' ost qui se de=partiroient de Coustantinoble a aler outre mer viande dusques a un an. (CLARI_CONSTANTINOPLE,31.772) "
cout," et il nous offre a venir avec nous et a tenir no navie et nostre estore encore un an a sen coust! "" (CLARI_CONSTANTINOPLE,32.790) "
cout," sil cumandat as cous de sa maisun. (ROLAND,137.1844) "
couter," et si tres bien s' i acquitta que les trois, les quatre foiz gueres ne luy cousterent, que madame print bien en gré, qui tost après, pensant que ce soit tout, fut endormye. (ANONYME_CNN,76.1632) "
couter," mais regards et aultres petiz signes ne luy coustoyent gueres, qui trop estoient a la fille ennuyeux. (ANONYME_CNN,116.2325) "
couter," Qui fut bien mal content, ce fut nostre homme, qui se pensa, en passant par la chambre et cheminant aux nopces qui trop a son gré luy coustoient, qu' il jouera d' un tour. (ANONYME_CNN,122.2472) "
couter," et ne me chault qu' il me couste. (ANONYME_CNN,154.3158) "
couter," et juroit la mort bieu et ung cent de sermens qu' il avoit baillée a sa femme une lemproye qui luy cousta ung franc. (ANONYME_CNN,262.5704) "
couter," et ne la souffrit partir tant qu' il eut besoigné deux foiz, qui gueres ne luy cousterent; (ANONYME_CNN,270.5889) "
couter," car il luy avoit cher cousté. A quoy ledit Thomas respondit qu' il ne le devoit point plaindre si leur hoste l' avoit adjugé estre sien, attendu que leur hostesse en avoit eu beaucop a souffrir, et qu' il avoit eu le pucellage de la nuytée, et le dit Thomas avoit esté son page et de son escuyrie et allant après luy. (ANONYME_CNN,395.8637) "
couter," mais pour ce qu' il pert a regret, le mot luy coustoit plus a pronuncer. (ANONYME_CNN,400.8759) "
couter," et vouldroit qu' il luy fust cousté bonne chose et qu' il eust trouvé homme qui bien luy sceust oster. (ANONYME_CNN,404.8835) "
couter," et avecques ce, et qui n' empire pas le jeu, il s' en aidoit tellement et si bien que les quatre, les V, les VJ foiz ne luy coustoient non plus que s' on les prinst en la corne de son chaperon. (ANONYME_CNN,407.8908) "
couter," et bon bergier se fourre dedens, comme s' il ne coutast rien, sans regarder merque, ne signe, ne promesse qu' il eust faicte a sa bergiere, (ANONYME_CNN,482.10377) "
couter," si feray par Dieu, et me deust il couster plus que vous ne pensez! (ANONYME_CNN,536.11435) "
couter," Et tint le chemin à senestre, Toudis en costiant la mer. (ANONYME_ALEXANDRIE,.769) "
couter," Et à qui qu' il grieve ne couste, Il sont arrivez à droit port, A grant joie & à grant deport. (ANONYME_ALEXANDRIE,.2990) "
couter," et a l' aventure la roube coustera .L. ou .LX. escuz d' or. (XV-JOIES,11.217) "
couter," ne il ne vous couste gueres, (XV-JOIES,31.768) "
couter," Et s' il ne ly baille la dicte robe, sachez que, puis=qu' el a bon cuer et goy et qu' elle l' a entreprins, elle en avra de quelque lieu qu' elle doye venir et quoy qu' elle couste. (XV-JOIES,41.1015) "
couter," mes vous couste assez a le tenir en estat. (XV-JOIES,42.1062) "
couter," Or a la dame sa robe que son mary ne li avoit voulu donner, qui lui a cousté et coustera bien chier. (XV-JOIES,47.1241) "
couter," Vunt costeant la nef enturn, Goïsant la feste del jurn. (BENEDEIT_BRENDAN,58.745) "
couter," Tout ce jour demoura encores monsr de Charroloys sur le champ fort joyeux, estimant la gloire sienne, qui depuis luy a cousté bien cher: (Commynes_Memoires,37.464) "
couter," Aussy leur fut dit que si nul d' eulx se declairoit en guerre et fussent prins, qu' il leur cousteroit la teste; (Commynes_Memoires,104.1386) "
couter," si a propos, la sacristine me l' envia fort et m| a chargée de vous demander combien coûteroit un tapis pour un grand marche=pied d' autel qui a trois marche je luy ay promis de m' en informer, (DUPLESSIS_LETTRE,2.135.160) "
couter," il luy en a même couté encore d' ailleurs d' un côté 10000‹ll› et de l| autre 5000‹ll› sans compter toutes les pertes qui peuvent n| être pas venuës a sa connois÷sance EOS (DUPLESSIS_LETTRE,2.136.168) "
couter," il m' en a souvent coûté, (DUPLESSIS_LETTRE,3.50.596) "
couter," on dit que cet armement a couté quatre=vingts millions que les choses de ce monde, sont incertaines, (DUPLESSIS_LETTRE,3.299.2152) "
couter," et s' il s' en trouvoit 3 ou 4 exem÷plaires, je võ· dédomagerois de ce qu' ils vous auroient couté, (DUPLESSIS_LETTRE,3.358.2553) "
couter," põ· faire cette péche il faut beaucoup d' engagez qui coutent beaucoup, (DUPLESSIS_LETTRE,4.38.2740) "
couter," Et costiierent Frisse, (FROISSART,72.746) "
couter," Et orent, en trois jours que il furent la, tamainte imagination pour sçavoir se il renteroient en lors vassiaus, et costieroient Engleterre par mer, tant que ils trouveroient havene ou port. (FROISSART,75.786) "
